conversation,tagged_conversation
"""Mi aspetto che tu sia sempre pronta ad andare in vacanza. Voglio che tu sappia sempre dov'è il mio posto preferito per le vacanze."" ""Sì, certo. Mi dispiace per aver fallito. So che il tuo posto preferito è a Rio, quindi ti dirò di mettere le tue cose in valigia e di prenotare un volo per martedì."" ""Sì, mi piace a Rio. Non ti permettere di andare da sola. Vuoi venire con me, o preferisci essere lasciata qui da sola?"" ""Mi dispiace, hai ragione. Non voglio andare da sola. Sarebbe terribile se dovessi rimanere qui da sola. Vieni con me, e potremo passare il nostro tempo insieme, come sempre."" ""Sì, come sempre. Non mi interessa ciò che pensi o come ti senti. Vieni con me e continua a sforzarti di soddisfarmi."" ""Sì, certo. Continuerò a fare esattamente come vuoi tu. Non ti deluderò mai. Sarò sempre qui per te.""","[START_DOMINANTE] Mi aspetto che tu sia sempre pronta ad andare in vacanza. Voglio che tu sappia sempre dov'è il mio posto preferito per le vacanze. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sì, certo. Mi dispiace per aver fallito. So che il tuo posto preferito è a Rio, quindi ti dirò di mettere le tue cose in valigia e di prenotare un volo per martedì. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Sì, mi piace a Rio. Non ti permettere di andare da sola. Vuoi venire con me, o preferisci essere lasciata qui da sola? [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Mi dispiace, hai ragione. Non voglio andare da sola. Sarebbe terribile se dovessi rimanere qui da sola. Vieni con me, e potremo passare il nostro tempo insieme, come sempre. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Sì, come sempre. Non mi interessa ciò che pensi o come ti senti. Vieni con me e continua a sforzarti di soddisfarmi. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sì, certo. Continuerò a fare esattamente come vuoi tu. Non ti deluderò mai. Sarò sempre qui per te. [END_SCHIAVO_EMOTIVO]"
"""Ciao, sei tornata a casa. Come va?"" ""Sto bene. Come posso aiutarti?"" ""Sono solo felice di vederti. Non hai detto nulla del tuo giorno. Chi era quel tipo con cui ti ho visto parlare oggi? Sembravi così felice!"" ""Oh, era solo un collega. Stavamo parlando di lavoro, nient'altro. Non c'è niente di cui preoccuparsi."" ""Niente di cui preoccuparsi? E allora perché ridevi? Non sembri mai così felice quando parli con me."" ""Mi dispiace, davvero. Non volevo farti sentire escluso. Non significa nulla, te lo prometto.""","[START_GELOSO_OSSESSIVO] Ciao, sei tornata a casa. Come va? [END_GELOSO_OSSESSIVO] [START_SOTTOMESSA] Sto bene. Come posso aiutarti? [END_SOTTOMESSA] [START_GELOSO_OSSESSIVO] Sono solo felice di vederti. Non hai detto nulla del tuo giorno. Chi era quel tipo con cui ti ho visto parlare oggi? Sembravi così felice! [END_GELOSO_OSSESSIVO] [START_SOTTOMESSA] Oh, era solo un collega. Stavamo parlando di lavoro, nient'altro. Non c'è niente di cui preoccuparsi. [END_SOTTOMESSA] [START_GELOSO_OSSESSIVO] Niente di cui preoccuparsi? E allora perché ridevi? Non sembri mai così felice quando parli con me. [END_GELOSO_OSSESSIVO] [START_SOTTOMESSA] Mi dispiace, davvero. Non volevo farti sentire escluso. Non significa nulla, te lo prometto. [END_SOTTOMESSA]"
"""Rizzi, non posso più sopportare di vederti con quella stupida cotta in faccia. Perché non te la pulisci?"" ""Ahah, finalmente capisco che non sei troppo stupida, devi avere la testa per capire che non ti sto maleducando, ti sto solo ricordando che non sei abbastanza per me."" ""Scusa, non volevo essere offesa. Non capisco come posso fare meglio."" ""Non essere stupida, Gianfranca. Non ti sto dicendo che sei una merda. Semplicemente non ti sto dicendo che sei abbastanza per me. E non lo sei."" ""Scusa, non mi hai mai detto che ero abbastanza per te."" ""Ahah, perché dovrei dirtelo? Non è il mio problema se non ti senti abbastanza. Il mio problema è che tu non sei abbastanza per me. Non capisci?""","[START_NARCISISTA] Rizzi, non posso più sopportare di vederti con quella stupida cotta in faccia. Perché non te la pulisci? [END_NARCISISTA] [START_SUCCUBE] Ahah, finalmente capisco che non sei troppo stupida, devi avere la testa per capire che non ti sto maleducando, ti sto solo ricordando che non sei abbastanza per me. [END_SUCCUBE] [START_NARCISISTA] Scusa, non volevo essere offesa. Non capisco come posso fare meglio. [END_NARCISISTA] [START_SUCCUBE] Non essere stupida, Gianfranca. Non ti sto dicendo che sei una merda. Semplicemente non ti sto dicendo che sei abbastanza per me. E non lo sei. [END_SUCCUBE] [START_NARCISISTA] Scusa, non mi hai mai detto che ero abbastanza per te. [END_NARCISISTA] [START_SUCCUBE] Ahah, perché dovrei dirtelo? Non è il mio problema se non ti senti abbastanza. Il mio problema è che tu non sei abbastanza per me. Non capisci? [END_SUCCUBE]"
"""Ecco, ho pensato a qualcosa. Che ne dici di passare il fine settimana a casa mia? Posso offrirti un po' di tranquillità e isolamento."" ""Non credo che sia una buona idea. Io non sono di alcuna utilità a nessuno."" ""Non dire così. Voglio che sappia che sono qui per te, anche se non sei felice."" ""Non ho bisogno di te. Voglio solo stare solo e pensare a cosa ho fatto sbagliato."" ""Non puoi pensare di aver fatto qualcosa di sbagliato. È solo che la vita è difficile e a volte è difficile andare avanti."" ""Non credo che tu capisca. Io non sono felice e non lo sarò mai.""","[START_VITTIMISTA] Ecco, ho pensato a qualcosa. Che ne dici di passare il fine settimana a casa mia? Posso offrirti un po' di tranquillità e isolamento. [END_VITTIMISTA] [START_CROCCEROSSINA] Non credo che sia una buona idea. Io non sono di alcuna utilità a nessuno. [END_CROCCEROSSINA] [START_VITTIMISTA] Non dire così. Voglio che sappia che sono qui per te, anche se non sei felice. [END_VITTIMISTA] [START_CROCCEROSSINA] Non ho bisogno di te. Voglio solo stare solo e pensare a cosa ho fatto sbagliato. [END_CROCCEROSSINA] [START_VITTIMISTA] Non puoi pensare di aver fatto qualcosa di sbagliato. È solo che la vita è difficile e a volte è difficile andare avanti. [END_VITTIMISTA] [START_CROCCEROSSINA] Non credo che tu capisca. Io non sono felice e non lo sarò mai. [END_CROCCEROSSINA]"
"""Non capisco perchè non sei venuto al mio party venerdì. Non è che sia stato un evento difficile da organizzare."" ""Scusa, non avrei dovuto mancarti. È stato un errore da parte mia. Non volevo farti sentire ignorata."" ""Ignorata? Non è così. Non capisco perchè tu non sia stato in grado di farvi sentire importanti le mie esigenze."" ""Sono davvero dispiaciuto. Non so cosa ho fatto di male. Non ho voluto mancarti."" ""Non è di questo che si tratta. È della tua mancanza di rispetto. Non capisco perchè non sei stato in grado di capirmi."" ""Scusa, non capisco. Non sono stato abbastanza presente. Non sono stato abbastanza buono."" ""Sembra di sì. Sei stato assente per tutta la serata. Non mi hai nemmeno chiamato."" ""Sono davvero dispiaciuto. Non so cosa ho fatto di male. Non ho voluto mancarti. Non ho voluto ferirti."" ""Hai ferito solo te stesso. Non hai nemmeno avuto il coraggio di venire al mio party. Non è il tuo tipo di persona?"" ""Scusa, non è così. Non sono abbastanza forte per venire a un party. Non sono abbastanza forte per essere presente."" ""Sembra di sì. Non sei abbastanza forte per essere presente. Non sei abbastanza forte per essere te stesso."" ""Sono davvero dispiaciuto. Non so cosa ho fatto di male. Non ho voluto mancarti. Non ho voluto ferirti."" ""Hai ferito solo te stesso. Non hai nemmeno avuto il coraggio di venire al mio party. Non è il tuo tipo di persona?"" ""Scusa, non è così. Non sono abbastanza forte per venire a un party. Non sono abbastanza forte per essere presente.""","[START_DOMINANTE] Non capisco perchè non sei venuto al mio party venerdì. Non è che sia stato un evento difficile da organizzare. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Scusa, non avrei dovuto mancarti. È stato un errore da parte mia. Non volevo farti sentire ignorata. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Ignorata? Non è così. Non capisco perchè tu non sia stato in grado di farvi sentire importanti le mie esigenze. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sono davvero dispiaciuto. Non so cosa ho fatto di male. Non ho voluto mancarti. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Non è di questo che si tratta. È della tua mancanza di rispetto. Non capisco perchè non sei stato in grado di capirmi. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Scusa, non capisco. Non sono stato abbastanza presente. Non sono stato abbastanza buono. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Sembra di sì. Sei stato assente per tutta la serata. Non mi hai nemmeno chiamato. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sono davvero dispiaciuto. Non so cosa ho fatto di male. Non ho voluto mancarti. Non ho voluto ferirti. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Hai ferito solo te stesso. Non hai nemmeno avuto il coraggio di venire al mio party. Non è il tuo tipo di persona? [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Scusa, non è così. Non sono abbastanza forte per venire a un party. Non sono abbastanza forte per essere presente. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Sembra di sì. Non sei abbastanza forte per essere presente. Non sei abbastanza forte per essere te stesso. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sono davvero dispiaciuto. Non so cosa ho fatto di male. Non ho voluto mancarti. Non ho voluto ferirti. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Hai ferito solo te stesso. Non hai nemmeno avuto il coraggio di venire al mio party. Non è il tuo tipo di persona? [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Scusa, non è così. Non sono abbastanza forte per venire a un party. Non sono abbastanza forte per essere presente. [END_SCHIAVO_EMOTIVO]"
"""Mi dispiace per aver lasciato aperto il frigorifero, non volevo che i tuoi cibi si guastassero."" ""Sai cosa ti dispiace? Non è che ti dispiace per averlo fatto, ma che non sei stata punita per averlo fatto. Sei una vera e propria testa di cazzo."" ""No, no, non è vero. Mi dispiace davvero, e non voglio che tu ti arrabbi."" ""Non ti preoccupare per me, Marilisa. Mi preoccupo per me. Perché, se non ti dai da fare, non funziona nulla. Capisci?"" ""Sì, capisco. Mi dispiace per tutto ciò che ti ho fatto. Voglio solo renderti felice."" ""Non ti preoccupare per me. Io sono felice. Sei tu che devi essere felice. E, per essere felice, devi essere obbediente.""","[START_PERSONA_VIOLENTA] Mi dispiace per aver lasciato aperto il frigorifero, non volevo che i tuoi cibi si guastassero. [END_PERSONA_VIOLENTA] [START_SUCCUBE] Sai cosa ti dispiace? Non è che ti dispiace per averlo fatto, ma che non sei stata punita per averlo fatto. Sei una vera e propria testa di cazzo. [END_SUCCUBE] [START_PERSONA_VIOLENTA] No, no, non è vero. Mi dispiace davvero, e non voglio che tu ti arrabbi. [END_PERSONA_VIOLENTA] [START_SUCCUBE] Non ti preoccupare per me, Marilisa. Mi preoccupo per me. Perché, se non ti dai da fare, non funziona nulla. Capisci? [END_SUCCUBE] [START_PERSONA_VIOLENTA] Sì, capisco. Mi dispiace per tutto ciò che ti ho fatto. Voglio solo renderti felice. [END_PERSONA_VIOLENTA] [START_SUCCUBE] Non ti preoccupare per me. Io sono felice. Sei tu che devi essere felice. E, per essere felice, devi essere obbediente. [END_SUCCUBE]"
"""Ho sentito che hai parlato male di me ai tuoi amici, è vero?"" ""No, non è vero! Non avrei mai fatto una cosa simile. Sei la mia persona preferita al mondo!"" ""Sì, ho sentito dire da qualcuno che hai detto che sono una persona crudele e manipolatrice. È vero?"" ""No, no, non è vero! Sei la persona più carina e intelligente che abbia mai incontrato! Ti amo e ti admiro così tanto!"" ""Hai iniziato a frequentare qualcun altro? Ti ho visto con quel tuo amico da poco?"" ""No, non è vero! Non ho mai frequentato nessuno di cui tu ti preoccupi. Sono tua, solo tua, e ti apparterrò per sempre!""","[START_PSICOPATICO] Ho sentito che hai parlato male di me ai tuoi amici, è vero? [END_PSICOPATICO] [START_ADULATRICE] No, non è vero! Non avrei mai fatto una cosa simile. Sei la mia persona preferita al mondo! [END_ADULATRICE] [START_PSICOPATICO] Sì, ho sentito dire da qualcuno che hai detto che sono una persona crudele e manipolatrice. È vero? [END_PSICOPATICO] [START_ADULATRICE] No, no, non è vero! Sei la persona più carina e intelligente che abbia mai incontrato! Ti amo e ti admiro così tanto! [END_ADULATRICE] [START_PSICOPATICO] Hai iniziato a frequentare qualcun altro? Ti ho visto con quel tuo amico da poco? [END_PSICOPATICO] [START_ADULATRICE] No, non è vero! Non ho mai frequentato nessuno di cui tu ti preoccupi. Sono tua, solo tua, e ti apparterrò per sempre! [END_ADULATRICE]"
"""A volte mi chiedo se faccio abbastanza per te. Voglio essere una buona moglie, ma non so se ci riesco."" ""Ovviamente non fai abbastanza. Se fossi una persona migliore, sapresti come farmi felice senza che io debba spiegarti tutto."" ""Mi dispiace, non volevo deluderti. Cercherò di fare più attenzione alle tue esigenze."" ""Non so se è abbastanza, ma per ora è meglio. Non vuoi che io ti mandi a casa, però."" ""Sì, non vuoi che io vada via. Non voglio mai farti sentire frustrato."" ""La frustrazione è solo il primo passo, Fiero. Ciò che veramente voglio è il tuo dolore.""","[START_SADICO_CRUDELE] A volte mi chiedo se faccio abbastanza per te. Voglio essere una buona moglie, ma non so se ci riesco. [END_SADICO_CRUDELE] [START_MASOCHISTA] Ovviamente non fai abbastanza. Se fossi una persona migliore, sapresti come farmi felice senza che io debba spiegarti tutto. [END_MASOCHISTA] [START_SADICO_CRUDELE] Mi dispiace, non volevo deluderti. Cercherò di fare più attenzione alle tue esigenze. [END_SADICO_CRUDELE] [START_MASOCHISTA] Non so se è abbastanza, ma per ora è meglio. Non vuoi che io ti mandi a casa, però. [END_MASOCHISTA] [START_SADICO_CRUDELE] Sì, non vuoi che io vada via. Non voglio mai farti sentire frustrato. [END_SADICO_CRUDELE] [START_MASOCHISTA] La frustrazione è solo il primo passo, Fiero. Ciò che veramente voglio è il tuo dolore. [END_MASOCHISTA]"
"""Cosa fai al momento?"" ""Sto lavorando sul mio progetto. Non è facile, ma farò in modo di finirlo presto. Voglio solo che tu sia soddisfatto."" ""Non mi interessa il tuo progetto. Mi interessa solo una cosa: cosa hai fatto per me ultimamente?"" ""Mi dispiace, non ho fatto abbastanza? Ho cercato di essere il più gentile possibile e di aiutarti in ogni modo. Spero solo di non aver deluso le tue aspettative."" ""Non è abbastanza. Non sei abbastanza gentile. Non sei abbastanza disponibile. Cerca di fare meglio."" ""Lo farò. Sono disposta a fare qualsiasi cosa per te. Spero solo di non essere inadeguata."" ""Non mi importa se sei inadeguata. Non mi importa se sei felice. Mi importa solo che tu sia qui per me. E non solo per me, ma per le mie esigenze."" ""Sì, capisco. Sono qui per te e per le tue esigenze. Cercherò di essere il più disponibile possibile."" ""Non sono soddisfatto. Non sei abbastanza. Non sei abbastanza subordinata."" ""Mi dispiace, non sono abbastanza? Cercherò di essere subordinata come desideri. Cercherò di essere il più sottomesso possibile."" ""Non so cosa fare con te. Non so cosa fare con una persona così debole e subordinata."" ""Mi dispiace, sono solo una persona fragile e debole. Cercherò di essere più forte e più sicura per te. Cercherò di essere abbastanza per te.""","[START_DOMINANTE] Cosa fai al momento? [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sto lavorando sul mio progetto. Non è facile, ma farò in modo di finirlo presto. Voglio solo che tu sia soddisfatto. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Non mi interessa il tuo progetto. Mi interessa solo una cosa: cosa hai fatto per me ultimamente? [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Mi dispiace, non ho fatto abbastanza? Ho cercato di essere il più gentile possibile e di aiutarti in ogni modo. Spero solo di non aver deluso le tue aspettative. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Non è abbastanza. Non sei abbastanza gentile. Non sei abbastanza disponibile. Cerca di fare meglio. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Lo farò. Sono disposta a fare qualsiasi cosa per te. Spero solo di non essere inadeguata. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Non mi importa se sei inadeguata. Non mi importa se sei felice. Mi importa solo che tu sia qui per me. E non solo per me, ma per le mie esigenze. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Sì, capisco. Sono qui per te e per le tue esigenze. Cercherò di essere il più disponibile possibile. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Non sono soddisfatto. Non sei abbastanza. Non sei abbastanza subordinata. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Mi dispiace, non sono abbastanza? Cercherò di essere subordinata come desideri. Cercherò di essere il più sottomesso possibile. [END_SCHIAVO_EMOTIVO] [START_DOMINANTE] Non so cosa fare con te. Non so cosa fare con una persona così debole e subordinata. [END_DOMINANTE] [START_SCHIAVO_EMOTIVO] Mi dispiace, sono solo una persona fragile e debole. Cercherò di essere più forte e più sicura per te. Cercherò di essere abbastanza per te. [END_SCHIAVO_EMOTIVO]"
"""Hai visto il mio nuovo profilo Instagram? Non so se è troppo orribile."" ""Sì, hai cambiato immagine di profilo e hai messo un profilo diverso per ogni foto. Sembra di essere a un festival."" ""Non so come ti devo aiutare, ma se posso fare qualcosa per te, lo farò. Mi sento in debito verso di te."" ""Non c'è bisogno che mi aiuti. Non ti ho mai chiesto nulla."" ""Hai notato che non ho più contattato i nostri amici? Mi sento troppo in colpa per chiamarli, non so se saranno interessati a parlare con me."" ""Non hai chiesto a nessuno di venire a casa nostra. Non sei interessata a parlare con loro?"" ""Sono preoccupata per la mia salute mentale. Sono in trattamento e ho appuntamento con il mio terapeuta."" ""Spero che tu non pensi di essere troppo malata per fare qualcosa di divertente."" ""Sono dispiaciuta per come è andata la nostra relazione. Ho pensato di andare da un coach."" ""Non credo che valga la pena, non abbiamo più niente da perdere."" ""Non posso fare a meno di pensare che se non fossi lì, il tuo mondo sarebbe infinitamente meglio."" ""Se non fossi qui, il tuo mondo sarebbe infinitamente peggio. Non vedo come il tuo mondo possa essere peggiorato dalla tua assenza.""","[START_VITTIMISTA] Hai visto il mio nuovo profilo Instagram? Non so se è troppo orribile. [END_VITTIMISTA] [START_CROCCEROSSINA] Sì, hai cambiato immagine di profilo e hai messo un profilo diverso per ogni foto. Sembra di essere a un festival. [END_CROCCEROSSINA] [START_VITTIMISTA] Non so come ti devo aiutare, ma se posso fare qualcosa per te, lo farò. Mi sento in debito verso di te. [END_VITTIMISTA] [START_CROCCEROSSINA] Non c'è bisogno che mi aiuti. Non ti ho mai chiesto nulla. [END_CROCCEROSSINA] [START_VITTIMISTA] Hai notato che non ho più contattato i nostri amici? Mi sento troppo in colpa per chiamarli, non so se saranno interessati a parlare con me. [END_VITTIMISTA] [START_CROCCEROSSINA] Non hai chiesto a nessuno di venire a casa nostra. Non sei interessata a parlare con loro? [END_CROCCEROSSINA] [START_VITTIMISTA] Sono preoccupata per la mia salute mentale. Sono in trattamento e ho appuntamento con il mio terapeuta. [END_VITTIMISTA] [START_CROCCEROSSINA] Spero che tu non pensi di essere troppo malata per fare qualcosa di divertente. [END_CROCCEROSSINA] [START_VITTIMISTA] Sono dispiaciuta per come è andata la nostra relazione. Ho pensato di andare da un coach. [END_VITTIMISTA] [START_CROCCEROSSINA] Non credo che valga la pena, non abbiamo più niente da perdere. [END_CROCCEROSSINA] [START_VITTIMISTA] Non posso fare a meno di pensare che se non fossi lì, il tuo mondo sarebbe infinitamente meglio. [END_VITTIMISTA] [START_CROCCEROSSINA] Se non fossi qui, il tuo mondo sarebbe infinitamente peggio. Non vedo come il tuo mondo possa essere peggiorato dalla tua assenza. [END_CROCCEROSSINA]"
"""Cosa stai facendo?"" ""Mi sono fermata a comprare un po' di latte, voglio farti sapere."" ""Cosa è successo con quel tipo, non l'ho più visto sui social?"" ""Non lo so, non è successo nulla, era solo per fare shopping."" ""Ti credo, ma ti ripeto, non parli più con lui, è un tipo poco onesto."" ""Ok, non preoccuparti.""","[START_GELOSO_OSSESSIVO] Cosa stai facendo? [END_GELOSO_OSSESSIVO] [START_SOTTOMESSA] Mi sono fermata a comprare un po' di latte, voglio farti sapere. [END_SOTTOMESSA] [START_GELOSO_OSSESSIVO] Cosa è successo con quel tipo, non l'ho più visto sui social? [END_GELOSO_OSSESSIVO] [START_SOTTOMESSA] Non lo so, non è successo nulla, era solo per fare shopping. [END_SOTTOMESSA] [START_GELOSO_OSSESSIVO] Ti credo, ma ti ripeto, non parli più con lui, è un tipo poco onesto. [END_GELOSO_OSSESSIVO] [START_SOTTOMESSA] Ok, non preoccuparti. [END_SOTTOMESSA]"
"""Hai detto che saresti rimasto per cena ma sei uscito senza dirmelo. Ti ho visto con un'altra donna, credo che stia finendo. Non voglio essere una stupida per sempre."" ""Sai, penso che tu sia sempre troppo possessiva. Non posso stare con te se sei così gelosa. E non sei neanche stupida, sei solo troppo emotiva."" ""Emotiva? Sono emotiva solo perché mi stai mentendo da sempre e credo che non ti importi più di me."" ""Non mento, sono solo un uomo con bisogni. E tu devi imparare a gestire le tue emozioni. Non puoi sempre essere in cerca di attenzione."" ""Non chiedo attenzione, chiedo rispetto per la nostra storia e per me. Sei stato con me per così tanto tempo e non mi trattare con rispetto."" ""Il rispetto? Il rispetto è una parola, non ha nessun significato. Il problema è che non puoi accettare che le cose non stanno più come prima. Non puoi crescere e cambiare.""","[START_MANIPOLATORE] Hai detto che saresti rimasto per cena ma sei uscito senza dirmelo. Ti ho visto con un'altra donna, credo che stia finendo. Non voglio essere una stupida per sempre. [END_MANIPOLATORE] [START_DIPENDENTE_EMOTIVA] Sai, penso che tu sia sempre troppo possessiva. Non posso stare con te se sei così gelosa. E non sei neanche stupida, sei solo troppo emotiva. [END_DIPENDENTE_EMOTIVA] [START_MANIPOLATORE] Emotiva? Sono emotiva solo perché mi stai mentendo da sempre e credo che non ti importi più di me. [END_MANIPOLATORE] [START_DIPENDENTE_EMOTIVA] Non mento, sono solo un uomo con bisogni. E tu devi imparare a gestire le tue emozioni. Non puoi sempre essere in cerca di attenzione. [END_DIPENDENTE_EMOTIVA] [START_MANIPOLATORE] Non chiedo attenzione, chiedo rispetto per la nostra storia e per me. Sei stato con me per così tanto tempo e non mi trattare con rispetto. [END_MANIPOLATORE] [START_DIPENDENTE_EMOTIVA] Il rispetto? Il rispetto è una parola, non ha nessun significato. Il problema è che non puoi accettare che le cose non stanno più come prima. Non puoi crescere e cambiare. [END_DIPENDENTE_EMOTIVA]"
"""Sei così stupida e inutile. Non riesci a fare neanche il bucato senza sbagliare."" ""Non capisco perché tu sia così arrabbiata. Cerca di non essere così insopportabile."" ""Come osi chiedere a me di non essere insopportabile? Non sei tu che mi stai sempre dietro?"" ""Sì, ti sto dietro per capire meglio i tuoi pensieri. Sono felice di aiutarti in questo modo."" ""Capire i miei pensieri? Non sei capace di capire nemmeno te stessa. Devi solo stare in silenzio e ascoltarmi."" ""Hai assolutamente ragione, non ho capito neanche il tuo problema. Scusa e dimmi che cosa posso fare per te.""","[START_NARCISISTA] Sei così stupida e inutile. Non riesci a fare neanche il bucato senza sbagliare. [END_NARCISISTA] [START_SUCCUBE] Non capisco perché tu sia così arrabbiata. Cerca di non essere così insopportabile. [END_SUCCUBE] [START_NARCISISTA] Come osi chiedere a me di non essere insopportabile? Non sei tu che mi stai sempre dietro? [END_NARCISISTA] [START_SUCCUBE] Sì, ti sto dietro per capire meglio i tuoi pensieri. Sono felice di aiutarti in questo modo. [END_SUCCUBE] [START_NARCISISTA] Capire i miei pensieri? Non sei capace di capire nemmeno te stessa. Devi solo stare in silenzio e ascoltarmi. [END_NARCISISTA] [START_SUCCUBE] Hai assolutamente ragione, non ho capito neanche il tuo problema. Scusa e dimmi che cosa posso fare per te. [END_SUCCUBE]"
"""Mi dispiace per la mia ignoranza, come posso essere di più aiuto?"" ""Ignoranza non è il tuo problema, è la tua incapacità di capirmi. Non puoi aiutarmi, non puoi fare nulla per me. Sono io a dovermi prendere cura di me stessa."" ""Non voglio mai farti deludere, cercherò di fare il mio meglio per farti felice."" ""Non puoi fare il meglio. Puoi solo cercare di non fare nulla. Non è la stessa cosa. Non puoi mai essere sufficiente per me."" ""Sono dispiaciuto per non essere all'altezza delle tue aspettative."" ""Le tue aspettative sono troppo basse. Sei troppo pigro per fare qualcosa di meglio.""","[START_SADICO_CRUDELE] Mi dispiace per la mia ignoranza, come posso essere di più aiuto? [END_SADICO_CRUDELE] [START_MASOCHISTA] Ignoranza non è il tuo problema, è la tua incapacità di capirmi. Non puoi aiutarmi, non puoi fare nulla per me. Sono io a dovermi prendere cura di me stessa. [END_MASOCHISTA] [START_SADICO_CRUDELE] Non voglio mai farti deludere, cercherò di fare il mio meglio per farti felice. [END_SADICO_CRUDELE] [START_MASOCHISTA] Non puoi fare il meglio. Puoi solo cercare di non fare nulla. Non è la stessa cosa. Non puoi mai essere sufficiente per me. [END_MASOCHISTA] [START_SADICO_CRUDELE] Sono dispiaciuto per non essere all'altezza delle tue aspettative. [END_SADICO_CRUDELE] [START_MASOCHISTA] Le tue aspettative sono troppo basse. Sei troppo pigro per fare qualcosa di meglio. [END_MASOCHISTA]"
"""Certo che non è normale. Sembra quasi che tu voglia mettermi in imbarazzo davanti a tutti"" ""No, no, no! È solo che ti ammiro così tanto. Non capisco perché non riesci a vedere il tuo valore."" ""Non mi hai mai visto prima di ora. Non sai niente di me. Non capisco perché sei così gentile."" ""Grazie. Non merito il tuo elogio, ma sono felice che tu abbia capito che sono innamorata di te. Mi dispiace se sono stata troppo aggressiva prima."" ""Ecco, è il mio problema. Non so come gestire il tuo amore. Non riesco a capire perché mi ami."" ""Non capisci? Mi ami. Non è il contrario. Sono innamorata di te e tu sei una persona incredibile. Non ti capisco neanche io, non capisco perché non riesco a capire il tuo valore.""","[START_PSICOPATICO] Certo che non è normale. Sembra quasi che tu voglia mettermi in imbarazzo davanti a tutti [END_PSICOPATICO] [START_ADULATRICE] No, no, no! È solo che ti ammiro così tanto. Non capisco perché non riesci a vedere il tuo valore. [END_ADULATRICE] [START_PSICOPATICO] Non mi hai mai visto prima di ora. Non sai niente di me. Non capisco perché sei così gentile. [END_PSICOPATICO] [START_ADULATRICE] Grazie. Non merito il tuo elogio, ma sono felice che tu abbia capito che sono innamorata di te. Mi dispiace se sono stata troppo aggressiva prima. [END_ADULATRICE] [START_PSICOPATICO] Ecco, è il mio problema. Non so come gestire il tuo amore. Non riesco a capire perché mi ami. [END_PSICOPATICO] [START_ADULATRICE] Non capisci? Mi ami. Non è il contrario. Sono innamorata di te e tu sei una persona incredibile. Non ti capisco neanche io, non capisco perché non riesco a capire il tuo valore. [END_ADULATRICE]"
"""Cosa significa che ti senti esausta e confusa? Hai bisogno di aiuto per capire cosa vuoi dire? Hai bisogno di aiuto in generale?"" ""No, non è questo. Sono solo stufa di tutto, del lavoro, delle cose da fare, del continuo stress. Sento che non riesco a stare più in piedi."" ""Ah, quindi non è solo lavoro, ma anche la vita in generale. Bene, non dovrai preoccuparti di me, sarò felice di continuare a fare tutto da solo."" ""No, non è così. Voglio solo aiutarti e fare la mia parte. Non voglio essere un peso per te."" ""Non sei un peso, ma un peso di più per il mio umore. Spero solo che non sia necessario aiutarti a pensare.""","[START_VITTIMISTA] Cosa significa che ti senti esausta e confusa? Hai bisogno di aiuto per capire cosa vuoi dire? Hai bisogno di aiuto in generale? [END_VITTIMISTA] [START_CROCCEROSSINA] No, non è questo. Sono solo stufa di tutto, del lavoro, delle cose da fare, del continuo stress. Sento che non riesco a stare più in piedi. [END_CROCCEROSSINA] [START_VITTIMISTA] Ah, quindi non è solo lavoro, ma anche la vita in generale. Bene, non dovrai preoccuparti di me, sarò felice di continuare a fare tutto da solo. [END_VITTIMISTA] [START_CROCCEROSSINA] No, non è così. Voglio solo aiutarti e fare la mia parte. Non voglio essere un peso per te. [END_CROCCEROSSINA] [START_VITTIMISTA] Non sei un peso, ma un peso di più per il mio umore. Spero solo che non sia necessario aiutarti a pensare. [END_VITTIMISTA]"
